filename,size_kb,usage_count,in_public_legacy,original_urls,alt_text_first,sources
1-1024x683.png,1147.3,0,no,,,
1-1320x880.png,1924.4,0,no,,,
1-300x200.png,109.4,0,no,,,
1-600x400.png,397.8,0,no,,,
1-768x512.png,629.6,0,no,,,
1.png,3042.6,0,no,,,
1652155214649-sieu-thi-big-c.png,63.4,4,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/1652155214649-sieu-thi-big-c.png,,www.rongvanghoanggia.com/index.html
20150827110756-dathongbao-bct-300x114.png,21.9,121,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/20150827110756-dathongbao-bct-300x114.png,,www.rongvanghoanggia.com/5-cach-doc-dao-de-thuong-thuc-banh-dau-xanh-cach-thu-5-ban-co-nam-mo-cung-chua-chac-da-nghi-den/index.html | www.rongvanghoanggia.com/ban-tu-cong-bo-rong-vang-hoang-gia/index.html | www.rongvanghoanggia.com/banh-dau-tra-xanh-banh-dau-sau-rieng-rong-vang-hoang-gia-dat-ocop-5-sao-quoc-gia/index.html
24-s-web-100x100.jpg,2.2,0,no,,,
24-s-web-150x150.jpg,3.7,0,no,,,
24-s-web-300x300.jpg,10.3,0,no,,,
24-s-web.jpg,20.0,1,no,https://www.rongvanghoanggia.com/wp-content/uploads/2024/10/24-s-web.jpg,,www.rongvanghoanggia.com/san-pham/banh-dau-xanh-huong-vi-sen-h24/index.html
242898969.jpg,123.8,4,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/242898969.jpg,,www.rongvanghoanggia.com/cong-bo/index.html
250px-Baodai2-223x300.jpg,17.4,0,no,,,
250px-Baodai2.jpg,28.9,0,no,,,
29-06-20129-47-16AM.jpg,24.9,4,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/29-06-20129-47-16AM.jpg,,www.rongvanghoanggia.com/index.html
36252859720_9028188217_3k-1-300x157.jpeg,22.3,0,no,,,
36252859720_9028188217_3k-1-600x314.jpeg,52.0,0,no,,,
36252859720_9028188217_3k-1-768x402.jpeg,73.5,0,no,,,
36252859720_9028188217_3k-1.jpeg,255.9,4,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/36252859720_9028188217_3k-1.jpeg,,www.rongvanghoanggia.com/banh-dau-tra-xanh-cau-chuyen-san-pham/index.html
36252859720_9028188217_3k-3.jpeg,255.9,5,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/36252859720_9028188217_3k-3.jpeg | http://rongvanghoanggia.com/wp-content/uploads/2024/10/36252859720_9028188217_3k-3.jpeg,nguồn gốc bánh đậu xanh,www.rongvanghoanggia.com/banh-dau-xanh-hai-duong-dac-san-van-hoa-noi-tieng/index.html | www.rongvanghoanggia.com/wp-content/cache/autoptimize/css/autoptimize_single_f384c0a93d90484d1963fdd2a9830a4e.css
491041220_1322572479373292_9051212635853428151_n-100x100.jpg,4.2,0,no,,,
491041220_1322572479373292_9051212635853428151_n-1024x1024.jpg,155.1,0,no,,,
491041220_1322572479373292_9051212635853428151_n-1320x1320.jpg,235.2,0,no,,,
491041220_1322572479373292_9051212635853428151_n-150x150.jpg,7.4,0,no,,,
491041220_1322572479373292_9051212635853428151_n-1536x1536.jpg,298.7,0,no,,,
491041220_1322572479373292_9051212635853428151_n-300x300.jpg,21.6,0,no,,,
491041220_1322572479373292_9051212635853428151_n-600x600.jpg,66.0,0,no,,,
491041220_1322572479373292_9051212635853428151_n-768x768.jpg,98.0,0,no,,,
491041220_1322572479373292_9051212635853428151_n.jpg,363.0,1,no,https://www.rongvanghoanggia.com/wp-content/uploads/2026/01/491041220_1322572479373292_9051212635853428151_n.jpg,,www.rongvanghoanggia.com/san-pham/banh-dau-xanh-thuong-hang-ocop-5-sao-quoc-gia/index.html
491736066_1322572249373315_7391901225215451857_n-100x100.jpg,4.1,0,no,,,
491736066_1322572249373315_7391901225215451857_n-1024x1024.jpg,125.3,0,no,,,
491736066_1322572249373315_7391901225215451857_n-1320x1320.jpg,189.2,0,no,,,
491736066_1322572249373315_7391901225215451857_n-150x150.jpg,6.9,0,no,,,
491736066_1322572249373315_7391901225215451857_n-1536x1536.jpg,240.5,0,no,,,
491736066_1322572249373315_7391901225215451857_n-300x300.jpg,19.0,0,no,,,
491736066_1322572249373315_7391901225215451857_n-600x600.jpg,54.5,0,no,,,
491736066_1322572249373315_7391901225215451857_n-768x768.jpg,79.9,0,no,,,
491736066_1322572249373315_7391901225215451857_n.jpg,287.4,1,no,https://www.rongvanghoanggia.com/wp-content/uploads/2026/01/491736066_1322572249373315_7391901225215451857_n.jpg,,www.rongvanghoanggia.com/san-pham/banh-dau-xanh-thuong-hang-ocop-5-sao-quoc-gia/index.html
491960619_1322572446039962_4656334556234221210_n-100x100.jpg,4.2,0,no,,,
491960619_1322572446039962_4656334556234221210_n-1024x1024.jpg,136.3,0,no,,,
491960619_1322572446039962_4656334556234221210_n-1320x1320.jpg,204.5,0,no,,,
491960619_1322572446039962_4656334556234221210_n-150x150.jpg,7.4,0,no,,,
491960619_1322572446039962_4656334556234221210_n-1536x1536.jpg,257.6,0,no,,,
491960619_1322572446039962_4656334556234221210_n-300x300.jpg,20.8,0,no,,,
491960619_1322572446039962_4656334556234221210_n-600x600.jpg,59.4,0,no,,,
491960619_1322572446039962_4656334556234221210_n-768x768.jpg,87.4,0,no,,,
491960619_1322572446039962_4656334556234221210_n.jpg,305.2,1,no,https://www.rongvanghoanggia.com/wp-content/uploads/2026/01/491960619_1322572446039962_4656334556234221210_n.jpg,,www.rongvanghoanggia.com/san-pham/banh-dau-xanh-thuong-hang-ocop-5-sao-quoc-gia/index.html
500x333xF8B4038-copy-e1528078048302.jpg.pagespeed.ic_.3i9gzt9GNR-300x200.jpg,15.9,0,no,,,
500x333xF8B4038-copy-e1528078048302.jpg.pagespeed.ic_.3i9gzt9GNR.jpg,44.5,0,no,,,
66-300x259.png,49.1,0,no,,,
66.png,64.3,0,no,,,
9181825b44d9689e0ccf2d93347a16db.png,14.0,4,no,https://rongvanghoanggia.com/wp-content/uploads/2024/10/9181825b44d9689e0ccf2d93347a16db.png,,www.rongvanghoanggia.com/index.html
BCD-web-100x100.jpg,1.8,0,no,,,
BCD-web-150x150.jpg,3.4,0,no,,,
BCD-web-300x300.jpg,10.9,0,no,,,
